112,00
115,00
145,00
171,00
196,00
204,00
242,00
284,00
315,00
340,00
360,00
417,00
118,00
126,00
150,00
180,00
196,00
188,00
233,00
277,00
301,00
318,00
342,00
391,00
132,00
141,00
178,00
193,00
236,00
235,00
267,00
317,00
356,00
362,00
406,00
419,00
129,00
135,00
163,00
181,00
235,00
227,00
269,00
313,00
348,00
348,00
396,00
461,00
121,00
125,00
172,00
183,00
229,00
234,00
270,00
318,00
355,00
363,00
420,00
472,00
135,00
149,00
178,00
218,00
243,00
264,00
315,00
374,00
422,00
435,00
472,00
535,00
148,00
170,00
199,00
230,00
264,00
302,00
364,00
413,00
465,00
491,00
548,00
622,00
148,00
170,00
199,00
242,00
272,00
293,00
347,00
405,00
467,00
505,00
559,00
606,00
136,00
158,00
184,00
209,00
237,00
259,00
312,00
355,00
404,00
404,00
463,00
508,00
119,00
133,00
162,00
191,00
211,00
229,00
274,00
306,00
347,00
359,00
407,00
461,00
104,00
114,00
146,00
172,00
180,00
203,00
237,00
271,00
305,00
310,00
362,00
390,00
118,00
140,00
166,00
194,00
201,00
229,00
278,00
306,00
336,00
337,00
405,00
432,00
